time_upper,rate
2.0,0.1357
4.0,0.1376
6.0,0.1113
8.0,0.1261
10.0,0.1201
12.0,0.1288
14.0,0.1169
16.0,0.1272
18.0,0.1327
20.0,0.1348
22.0,0.1318
24.0,0.1153
26.0,0.1245
28.0,0.1262
30.0,0.1211
32.0,0.1337
34.0,0.137
36.0,0.1297
38.0,0.1294
40.0,0.1156
42.0,0.1295
44.0,0.1322
46.0,0.1275
48.0,0.1296
50.0,0.1319
52.0,0.1311
54.0,0.1194
56.0,0.1112
58.0,0.1159
60.0,0.1292
62.0,0.1318
64.0,0.1345
66.0,0.1216
68.0,0.1276
70.0,0.1229
72.0,0.1278
74.0,0.1291
76.0,0.109
78.0,0.13
80.0,0.1342
82.0,0.133
84.0,0.1198
86.0,0.1338
88.0,0.137
90.0,0.1293
92.0,0.133
94.0,0.1333
96.0,0.1226
98.0,0.1317
100.0,0.1235
102.0,0.1304
104.0,0.134
106.0,0.1319
108.0,0.1305
110.0,0.1298
112.0,0.1302
114.0,0.1223
116.0,0.1257
118.0,0.133
120.0,0.1305
122.0,0.1372
124.0,0.1231
126.0,0.1562
128.0,0.1448
130.0,0.1381
132.0,0.1469
134.0,0.1538
136.0,0.1414
138.0,0.1468
140.0,0.1519
142.0,0.1564
144.0,0.1481
146.0,0.1519
148.0,0.1397
150.0,0.1475
152.0,0.1629
154.0,0.1688
156.0,0.1429
158.0,0.1627
160.0,0.1512
162.0,0.1513
164.0,0.1611
166.0,0.132
168.0,0.1484
170.0,0.144
172.0,0.1418
174.0,0.1361
176.0,0.1266
178.0,0.1339
180.0,0.1426
182.0,0.2241
184.0,0.1599
186.0,0.1377
188.0,0.1464
190.0,0.1139
192.0,0.1424
194.0,0.1473
196.0,0.1232
198.0,0.1496
200.0,0.147
202.0,0.1436
204.0,0.1355
206.0,0.1394
208.0,0.1421
210.0,0.1444
212.0,0.148
214.0,0.1444
216.0,0.1492
218.0,0.139
220.0,0.1427
222.0,0.1501
224.0,0.1483
226.0,0.1473
228.0,0.1369
230.0,0.1386
232.0,0.1426
234.0,0.1331
236.0,0.1399
238.0,0.1404
240.0,0.1392
242.0,0.1421
244.0,0.143
246.0,0.1521
248.0,0.1589
250.0,0.1452
252.0,0.1646
254.0,0.1673
256.0,0.1788
258.0,0.1684
260.0,0.1636
262.0,0.1481
264.0,0.1597
266.0,0.1647
268.0,0.1622
270.0,0.1561
272.0,0.1527
274.0,0.168
276.0,0.1648
278.0,0.1715
280.0,0.166
282.0,0.1636
284.0,0.1515
286.0,0.1633
288.0,0.1731
290.0,0.1398
292.0,0.1427
294.0,0.1428
296.0,0.1529
298.0,0.1389
300.0,0.1425
302.0,0.1595
304.0,0.1831
306.0,0.1399
308.0,0.1477
310.0,0.1397
312.0,0.1488
314.0,0.1464
316.0,0.1277
318.0,0.151
320.0,0.1468
322.0,0.1283
324.0,0.1427
326.0,0.1431
328.0,0.1314
330.0,0.1423
332.0,0.1464
334.0,0.1508
336.0,0.1448
338.0,0.153
340.0,0.1411
342.0,0.1466
344.0,0.1512
346.0,0.1462
348.0,0.141
350.0,0.145
352.0,0.1529
354.0,0.1457
356.0,0.1322
358.0,0.1435
360.0,0.1522
362.0,0.1672
364.0,0.1725
366.0,0.1493
368.0,0.1603
370.0,0.1269
372.0,0.1515
374.0,0.1517
376.0,0.1392
378.0,0.132
380.0,0.1525
382.0,0.1514
384.0,0.1413
386.0,0.1433
388.0,0.1504
390.0,0.147
392.0,0.1467
394.0,0.1505
396.0,0.1423
398.0,0.1478
400.0,0.1465
402.0,0.1495
404.0,0.1435
406.0,0.1509
408.0,0.1494
410.0,0.1484
412.0,0.1496
414.0,0.1431
416.0,0.1366
418.0,0.1467
420.0,0.1448
422.0,0.1516
424.0,0.1572
426.0,0.152
428.0,0.1424
430.0,0.1417
432.0,0.1416
434.0,0.1479
436.0,0.154
438.0,0.1448
440.0,0.1537
442.0,0.1412
444.0,0.1522
446.0,0.1485
448.0,0.1109
450.0,0.1114
452.0,0.1282
454.0,0.1242
456.0,0.1214
458.0,0.1228
460.0,0.1225
462.0,0.122
464.0,0.125
466.0,0.1215
468.0,0.1222
470.0,0.1239
472.0,0.1191
474.0,0.1231
476.0,0.1345
478.0,0.1491
480.0,0.1337
482.0,0.1298
484.0,0.1345
486.0,0.1337
488.0,0.1247
490.0,0.1233
492.0,0.1362
494.0,0.1368
496.0,0.1347
498.0,0.1279
500.0,0.1339
502.0,0.1163
504.0,0.1046
506.0,0.1192
508.0,0.1346
510.0,0.127
512.0,0.1392
514.0,0.1406
516.0,0.1303
518.0,0.1384
520.0,0.1368
522.0,0.1384
524.0,0.1395
526.0,0.1299
528.0,0.1366
530.0,0.1335
532.0,0.1278
534.0,0.1376
536.0,0.139
538.0,0.1459
540.0,0.1489
542.0,0.1433
544.0,0.152
546.0,0.1492
548.0,0.1471
550.0,0.1408
552.0,0.1493
554.0,0.148
556.0,0.1464
558.0,0.1398
560.0,0.14
562.0,0.1498
564.0,0.1434
566.0,0.1292
568.0,0.1377
570.0,0.1403
572.0,0.1424
574.0,0.1418
576.0,0.1413
578.0,0.1448
580.0,0.1284
582.0,0.1455
584.0,0.1456
586.0,0.1439
588.0,0.1425
590.0,0.1428
592.0,0.1468
594.0,0.1196
596.0,0.1449
598.0,0.1473
600.0,0.1452
602.0,0.1512
604.0,0.1385
606.0,0.1491
608.0,0.1477
610.0,0.1264
612.0,0.1463
614.0,0.1462
616.0,0.1355
618.0,0.1479
620.0,0.1459
622.0,0.1496
624.0,0.1469
626.0,0.1469
628.0,0.1575
630.0,0.155
632.0,0.1512
634.0,0.1502
636.0,0.1501
638.0,0.1493
640.0,0.1292
642.0,0.1675
644.0,0.1524
646.0,0.1463
648.0,0.1392
650.0,0.154
652.0,0.1609
654.0,0.1544
656.0,0.1481
658.0,0.1547
660.0,0.1306
662.0,0.1545
664.0,0.1504
666.0,0.154
668.0,0.1536
670.0,0.1425
672.0,0.1495
674.0,0.1511
676.0,0.1451
678.0,0.1525
680.0,0.147
682.0,0.1522
684.0,0.1476
686.0,0.1401
688.0,0.1503
690.0,0.1515
692.0,0.1493
694.0,0.152
696.0,0.1568
698.0,0.1463
700.0,0.138
702.0,0.1472
704.0,0.1496
706.0,0.1521
708.0,0.1503
710.0,0.1535
712.0,0.1441
714.0,0.1486
716.0,0.1426
718.0,0.152
720.0,0.1543
722.0,0.1538
724.0,0.1584
726.0,0.1457
728.0,0.1558
730.0,0.1482
732.0,0.154
734.0,0.1525
736.0,0.1486
738.0,0.1527
740.0,0.1522
742.0,0.1492
744.0,0.1521
746.0,0.1466
748.0,0.1679
750.0,0.138
752.0,0.1631
754.0,0.1612
756.0,0.1349
758.0,0.1553
760.0,0.1533
762.0,0.1558
764.0,0.1565
766.0,0.1619
768.0,0.16
770.0,0.1605
772.0,0.1633
774.0,0.1496
776.0,0.1576
778.0,0.1648
780.0,0.1626
782.0,0.1669
784.0,0.162
786.0,0.1582
788.0,0.1634
790.0,0.1414
792.0,0.1497
794.0,0.1595
796.0,0.1719
798.0,0.162
800.0,0.1654
802.0,0.1727
804.0,0.1636
806.0,0.1641
808.0,0.1675
810.0,0.1635
812.0,0.1651
814.0,0.1622
816.0,0.15
818.0,0.1794
820.0,0.1669
822.0,0.1645
824.0,0.1629
826.0,0.1649
828.0,0.1586
830.0,0.1612
832.0,0.1558
834.0,0.1537
836.0,0.1448
838.0,0.1471
840.0,0.1565
842.0,0.1635
844.0,0.1743
846.0,0.16
848.0,0.1706
850.0,0.1646
852.0,0.1588
854.0,0.1585
856.0,0.1679
858.0,0.179
860.0,0.165
862.0,0.1838
864.0,0.2123
866.0,0.1428
868.0,0.1589
870.0,0.1665
872.0,0.1569
874.0,0.1633
876.0,0.1635
878.0,0.1649
880.0,0.1515
882.0,0.1584
884.0,0.1599
886.0,0.1556
888.0,0.1603
890.0,0.1584
892.0,0.1535
894.0,0.1413
896.0,0.1387
898.0,0.1403
900.0,0.1524
902.0,0.1446
904.0,0.1579
906.0,0.1484
908.0,0.1447
910.0,0.1388
912.0,0.1391
914.0,0.1549
916.0,0.1426
918.0,0.1609
920.0,0.1462
922.0,0.1494
924.0,0.1531
926.0,0.139
928.0,0.1532
930.0,0.1512
932.0,0.1545
934.0,0.1512
936.0,0.1472
