time_upper,rate
2.0,0.0521
4.0,0.0518
6.0,0.0482
8.0,0.0422
10.0,0.057
12.0,0.058
14.0,0.0529
16.0,0.0546
18.0,0.0537
20.0,0.041
22.0,0.0402
24.0,0.0399
26.0,0.0416
28.0,0.0519
30.0,0.0393
32.0,0.0428
34.0,0.0538
36.0,0.0562
38.0,0.0551
40.0,0.0555
42.0,0.0508
44.0,0.039
46.0,0.0391
48.0,0.0396
50.0,0.0405
52.0,0.0537
54.0,0.0414
56.0,0.0471
58.0,0.0554
60.0,0.0534
62.0,0.0574
64.0,0.0556
66.0,0.047
68.0,0.0692
70.0,0.0774
72.0,0.0963
74.0,0.1054
76.0,0.0844
78.0,0.0475
80.0,0.0589
82.0,0.0607
84.0,0.0578
86.0,0.0576
88.0,0.0516
90.0,0.0438
92.0,0.044
94.0,0.0359
96.0,0.0525
98.0,0.057
100.0,0.0636
102.0,0.1163
104.0,0.0918
106.0,0.0554
108.0,0.0781
110.0,0.0526
112.0,0.0605
114.0,0.0432
116.0,0.0436
118.0,0.0448
120.0,0.0586
122.0,0.0475
124.0,0.0573
126.0,0.0867
128.0,0.0965
130.0,0.0591
132.0,0.058
134.0,0.0437
136.0,0.0442
138.0,0.0429
140.0,0.0423
142.0,0.052
144.0,0.0563
146.0,0.0558
148.0,0.0554
150.0,0.0562
152.0,0.0647
154.0,0.0521
156.0,0.0523
158.0,0.0779
160.0,0.1069
162.0,0.0991
164.0,0.047
166.0,0.0578
168.0,0.0562
170.0,0.0496
172.0,0.0508
174.0,0.0525
176.0,0.0537
178.0,0.04
180.0,0.0397
182.0,0.0523
184.0,0.0431
186.0,0.0422
188.0,0.0565
190.0,0.0563
192.0,0.0541
194.0,0.0525
196.0,0.0544
198.0,0.054
200.0,0.0396
202.0,0.0406
204.0,0.0403
206.0,0.0427
208.0,0.0399
210.0,0.0474
212.0,0.0579
214.0,0.0571
216.0,0.057
218.0,0.0543
220.0,0.0524
222.0,0.0465
224.0,0.0405
226.0,0.041
228.0,0.0392
230.0,0.0391
232.0,0.0434
234.0,0.0532
236.0,0.0546
238.0,0.0539
240.0,0.0524
242.0,0.0583
244.0,0.0536
246.0,0.048
248.0,0.0427
250.0,0.0438
252.0,0.0467
254.0,0.0461
256.0,0.0621
258.0,0.0622
260.0,0.0595
262.0,0.0666
264.0,0.0628
266.0,0.0628
268.0,0.0558
270.0,0.05
272.0,0.0549
274.0,0.0506
276.0,0.0573
278.0,0.0476
280.0,0.0602
282.0,0.0633
284.0,0.0579
286.0,0.0608
288.0,0.0615
290.0,0.057
292.0,0.0524
294.0,0.0454
296.0,0.0498
298.0,0.0513
300.0,0.0454
302.0,0.0624
304.0,0.0623
306.0,0.0646
308.0,0.0667
310.0,0.0622
312.0,0.0644
314.0,0.0498
316.0,0.0506
318.0,0.05
320.0,0.0465
322.0,0.0478
324.0,0.0519
326.0,0.0544
328.0,0.0532
330.0,0.0548
332.0,0.0603
334.0,0.0539
336.0,0.047
338.0,0.046
340.0,0.045
342.0,0.0436
344.0,0.0436
346.0,0.0554
348.0,0.0579
350.0,0.0577
352.0,0.061
