time_upper,rate
2.0,0.0964
4.0,0.0836
6.0,0.0815
8.0,0.0832
10.0,0.0855
12.0,0.0789
14.0,0.0735
16.0,0.0771
18.0,0.0783
20.0,0.0763
22.0,0.0715
24.0,0.0672
26.0,0.0737
28.0,0.0705
30.0,0.0612
32.0,0.0683
34.0,0.0618
36.0,0.053
38.0,0.0661
40.0,0.058
42.0,0.058
44.0,0.0586
46.0,0.0598
48.0,0.0667
50.0,0.0507
52.0,0.062
54.0,0.0602
56.0,0.0564
58.0,0.0609
60.0,0.0575
62.0,0.0768
64.0,0.059
66.0,0.0588
68.0,0.0577
70.0,0.0595
72.0,0.0642
74.0,0.0558
76.0,0.0595
78.0,0.0641
80.0,0.0581
82.0,0.0624
84.0,0.0594
86.0,0.0588
88.0,0.062
90.0,0.06
92.0,0.0686
94.0,0.0647
96.0,0.0631
98.0,0.065
100.0,0.0601
102.0,0.0565
104.0,0.0624
106.0,0.0668
108.0,0.0665
110.0,0.056
112.0,0.0635
114.0,0.0645
116.0,0.0585
118.0,0.0625
120.0,0.0578
122.0,0.0741
124.0,0.0599
126.0,0.0595
128.0,0.0623
130.0,0.0633
132.0,0.0655
134.0,0.0552
136.0,0.0555
138.0,0.0611
140.0,0.0576
142.0,0.0553
144.0,0.0554
146.0,0.0602
148.0,0.0547
150.0,0.0584
152.0,0.0697
154.0,0.0567
156.0,0.0525
158.0,0.0626
160.0,0.055
162.0,0.0571
164.0,0.0517
166.0,0.0588
168.0,0.0624
170.0,0.0609
172.0,0.0629
174.0,0.055
176.0,0.0556
178.0,0.0595
180.0,0.0524
182.0,0.0809
184.0,0.0634
186.0,0.0559
188.0,0.0558
190.0,0.0577
192.0,0.0603
194.0,0.0553
196.0,0.0549
198.0,0.0573
200.0,0.0517
202.0,0.0551
204.0,0.0574
206.0,0.0597
208.0,0.0585
210.0,0.0493
212.0,0.0587
214.0,0.0544
216.0,0.0469
218.0,0.0657
220.0,0.0584
222.0,0.0589
224.0,0.0513
226.0,0.054
228.0,0.0568
230.0,0.0472
232.0,0.0634
234.0,0.0567
236.0,0.0542
238.0,0.0598
240.0,0.0549
242.0,0.0768
244.0,0.0647
246.0,0.0617
248.0,0.0595
250.0,0.0669
252.0,0.0688
254.0,0.0615
256.0,0.0636
258.0,0.0669
260.0,0.0608
262.0,0.0588
264.0,0.0635
266.0,0.0668
268.0,0.0622
270.0,0.0632
272.0,0.069
274.0,0.0673
276.0,0.0744
278.0,0.0698
280.0,0.0735
282.0,0.0729
284.0,0.0695
286.0,0.0738
288.0,0.0731
290.0,0.0697
292.0,0.0815
294.0,0.0735
296.0,0.068
298.0,0.0712
300.0,0.0705
302.0,0.0911
304.0,0.0753
306.0,0.0736
308.0,0.0683
310.0,0.0701
312.0,0.0721
314.0,0.0603
316.0,0.0671
318.0,0.0748
320.0,0.0779
322.0,0.08
324.0,0.0859
326.0,0.0893
328.0,0.0883
330.0,0.0867
332.0,0.0949
334.0,0.0866
336.0,0.0768
338.0,0.0915
340.0,0.0884
342.0,0.0921
344.0,0.0826
346.0,0.0873
348.0,0.0751
350.0,0.0687
352.0,0.0757
354.0,0.0764
356.0,0.0702
358.0,0.0751
360.0,0.0748
362.0,0.09
364.0,0.0841
366.0,0.078
368.0,0.0812
370.0,0.0797
372.0,0.0816
374.0,0.0781
376.0,0.0789
378.0,0.092
380.0,0.0733
382.0,0.075
384.0,0.0786
386.0,0.0766
388.0,0.078
390.0,0.0736
392.0,0.082
394.0,0.0807
396.0,0.1124
398.0,0.0845
400.0,0.0828
402.0,0.1219
404.0,0.0763
406.0,0.0789
408.0,0.0839
410.0,0.0727
412.0,0.0805
414.0,0.0936
416.0,0.0958
418.0,0.0795
420.0,0.0759
422.0,0.0926
424.0,0.1187
426.0,0.0845
428.0,0.0796
430.0,0.0784
432.0,0.078
434.0,0.0739
436.0,0.0774
438.0,0.0832
440.0,0.0779
442.0,0.075
444.0,0.0822
446.0,0.0805
448.0,0.081
450.0,0.0804
452.0,0.0869
454.0,0.079
456.0,0.0743
458.0,0.084
460.0,0.0854
462.0,0.0819
464.0,0.0817
466.0,0.0875
468.0,0.0864
470.0,0.074
472.0,0.0823
474.0,0.0805
476.0,0.078
478.0,0.0796
480.0,0.0768
482.0,0.0937
484.0,0.1064
486.0,0.1112
488.0,0.1181
490.0,0.0928
492.0,0.0845
494.0,0.0765
496.0,0.0785
498.0,0.0819
500.0,0.0802
502.0,0.0797
504.0,0.0822
506.0,0.0841
508.0,0.0799
510.0,0.0782
512.0,0.0905
514.0,0.0783
516.0,0.0707
518.0,0.0905
520.0,0.0794
522.0,0.0784
524.0,0.0721
526.0,0.0802
528.0,0.0747
530.0,0.0762
532.0,0.0827
534.0,0.0796
536.0,0.0838
538.0,0.0815
540.0,0.0806
542.0,0.1024
544.0,0.082
546.0,0.088
548.0,0.0803
550.0,0.0863
552.0,0.0873
554.0,0.0822
556.0,0.0849
558.0,0.0824
560.0,0.0925
562.0,0.0998
564.0,0.0948
566.0,0.1074
568.0,0.0817
