time_upper,rate
2.0,0.2016
4.0,0.2044
6.0,0.1951
8.0,0.1928
10.0,0.1944
12.0,0.2065
14.0,0.2055
16.0,0.1858
18.0,0.1822
20.0,0.173
22.0,0.176
24.0,0.1795
26.0,0.1758
28.0,0.1842
30.0,0.1802
32.0,0.1836
34.0,0.1815
36.0,0.1772
38.0,0.1819
40.0,0.1771
42.0,0.184
44.0,0.1832
46.0,0.1817
48.0,0.1843
50.0,0.1811
52.0,0.1907
54.0,0.1878
56.0,0.1864
58.0,0.1864
60.0,0.1835
62.0,0.1864
64.0,0.1814
66.0,0.1832
68.0,0.1871
70.0,0.1875
72.0,0.1894
74.0,0.1905
76.0,0.1835
78.0,0.1866
80.0,0.1823
82.0,0.1934
84.0,0.1911
86.0,0.1821
88.0,0.193
90.0,0.1896
92.0,0.1873
94.0,0.1858
96.0,0.1854
98.0,0.1931
100.0,0.1857
102.0,0.1852
104.0,0.1898
106.0,0.1775
108.0,0.1893
110.0,0.1885
112.0,0.1847
114.0,0.1873
116.0,0.1891
118.0,0.1922
120.0,0.1952
122.0,0.196
124.0,0.1899
126.0,0.1902
128.0,0.1911
130.0,0.1894
132.0,0.1968
134.0,0.1918
136.0,0.1889
138.0,0.1991
140.0,0.1972
142.0,0.1885
144.0,0.1882
146.0,0.1891
148.0,0.194
150.0,0.1847
152.0,0.1775
154.0,0.1831
156.0,0.181
158.0,0.1861
160.0,0.1828
162.0,0.1875
164.0,0.1837
166.0,0.1708
168.0,0.1859
170.0,0.189
172.0,0.1931
174.0,0.1905
176.0,0.1904
178.0,0.1943
180.0,0.1915
182.0,0.2037
184.0,0.1987
186.0,0.1955
188.0,0.199
190.0,0.1909
192.0,0.1979
194.0,0.1996
196.0,0.1954
198.0,0.2035
200.0,0.1958
202.0,0.2014
204.0,0.1994
206.0,0.2006
208.0,0.1982
210.0,0.1954
212.0,0.1938
214.0,0.193
216.0,0.1951
218.0,0.2035
220.0,0.2097
222.0,0.2072
224.0,0.2057
226.0,0.1972
228.0,0.1986
230.0,0.1976
232.0,0.2009
234.0,0.2052
236.0,0.1988
238.0,0.2052
240.0,0.2008
242.0,0.2076
244.0,0.2111
246.0,0.2051
248.0,0.2139
250.0,0.2083
252.0,0.2096
254.0,0.2098
256.0,0.209
258.0,0.2032
260.0,0.2079
262.0,0.2074
264.0,0.2112
266.0,0.207
268.0,0.2038
270.0,0.2073
272.0,0.1964
274.0,0.2035
276.0,0.2034
278.0,0.2091
280.0,0.2167
282.0,0.2116
284.0,0.2162
286.0,0.2119
288.0,0.206
290.0,0.2076
292.0,0.2097
294.0,0.2106
296.0,0.2108
298.0,0.2135
300.0,0.2107
302.0,0.2223
304.0,0.2251
306.0,0.2203
308.0,0.2154
310.0,0.2206
312.0,0.2186
314.0,0.2201
316.0,0.2204
318.0,0.2198
320.0,0.219
322.0,0.2174
324.0,0.2199
326.0,0.2113
328.0,0.2176
330.0,0.2206
332.0,0.2059
334.0,0.2037
336.0,0.2041
338.0,0.2133
340.0,0.2072
342.0,0.2121
344.0,0.2177
346.0,0.2132
348.0,0.2128
350.0,0.2113
352.0,0.2109
354.0,0.2137
356.0,0.2169
358.0,0.2101
360.0,0.2155
362.0,0.2281
364.0,0.2299
366.0,0.2227
368.0,0.2339
370.0,0.2284
372.0,0.2329
374.0,0.2408
376.0,0.229
378.0,0.2399
380.0,0.2341
382.0,0.2382
384.0,0.2407
386.0,0.2264
388.0,0.233
390.0,0.2255
392.0,0.2243
394.0,0.2327
396.0,0.2369
398.0,0.2347
400.0,0.2418
402.0,0.2361
404.0,0.2384
406.0,0.2342
408.0,0.2421
410.0,0.2416
412.0,0.2348
414.0,0.2384
416.0,0.2476
418.0,0.2474
420.0,0.2445
422.0,0.2417
424.0,0.2445
426.0,0.2466
428.0,0.2415
430.0,0.2371
432.0,0.2381
434.0,0.2452
436.0,0.2393
438.0,0.2417
440.0,0.2352
442.0,0.2302
444.0,0.234
446.0,0.2307
448.0,0.2261
450.0,0.2222
452.0,0.218
454.0,0.2131
456.0,0.2224
458.0,0.2241
460.0,0.2241
462.0,0.224
464.0,0.2326
466.0,0.2399
468.0,0.2269
470.0,0.2254
472.0,0.2286
474.0,0.2266
476.0,0.2222
478.0,0.229
480.0,0.2272
482.0,0.2273
484.0,0.2354
486.0,0.2227
488.0,0.2338
490.0,0.2308
492.0,0.2343
494.0,0.2309
496.0,0.2287
498.0,0.2295
500.0,0.2224
502.0,0.2262
504.0,0.2291
506.0,0.2223
508.0,0.2232
510.0,0.2083
512.0,0.2098
514.0,0.2236
516.0,0.2228
518.0,0.2268
520.0,0.2257
522.0,0.2192
524.0,0.2191
526.0,0.218
528.0,0.2171
530.0,0.2198
532.0,0.2272
534.0,0.2295
536.0,0.2209
538.0,0.2239
540.0,0.2265
542.0,0.2408
544.0,0.2306
546.0,0.2267
548.0,0.2375
550.0,0.2301
552.0,0.2329
554.0,0.2359
556.0,0.2369
558.0,0.2376
560.0,0.234
562.0,0.2364
564.0,0.2367
566.0,0.2265
568.0,0.2306
570.0,0.2264
572.0,0.2215
574.0,0.2258
576.0,0.2236
578.0,0.2299
580.0,0.2356
582.0,0.229
584.0,0.2354
586.0,0.2278
588.0,0.2288
590.0,0.2267
592.0,0.2393
594.0,0.2369
596.0,0.2352
598.0,0.231
600.0,0.2338
602.0,0.2331
604.0,0.2404
606.0,0.2356
608.0,0.2369
610.0,0.2329
612.0,0.2341
614.0,0.2395
616.0,0.2382
618.0,0.239
620.0,0.2369
622.0,0.2384
624.0,0.2365
626.0,0.2336
628.0,0.2386
630.0,0.2368
632.0,0.2313
634.0,0.2379
636.0,0.2371
638.0,0.2388
640.0,0.2364
642.0,0.245
644.0,0.2464
646.0,0.2408
648.0,0.2472
650.0,0.2407
652.0,0.2441
654.0,0.2475
656.0,0.2453
658.0,0.2484
660.0,0.2511
