time_upper,rate
2.0,0.3743
4.0,0.3565
6.0,0.4089
8.0,0.3984
10.0,0.3485
12.0,0.3472
14.0,0.4142
16.0,0.4421
18.0,0.4013
20.0,0.3719
22.0,0.3951
24.0,0.4345
26.0,0.4032
28.0,0.4725
30.0,0.3517
32.0,0.3643
34.0,0.4549
36.0,0.3611
38.0,0.3492
40.0,0.3673
42.0,0.3562
44.0,0.4058
46.0,0.4115
48.0,0.3863
50.0,0.3701
52.0,0.3698
54.0,0.3636
56.0,0.4256
58.0,0.3726
60.0,0.3577
62.0,0.3606
64.0,0.3975
66.0,0.3415
68.0,0.3887
70.0,0.3363
72.0,0.3335
74.0,0.407
76.0,0.417
78.0,0.3627
80.0,0.3288
82.0,0.352
84.0,0.3844
86.0,0.35
88.0,0.4688
90.0,0.3686
92.0,0.3664
94.0,0.3823
96.0,0.4308
98.0,0.3492
100.0,0.3673
102.0,0.3397
104.0,0.3905
106.0,0.4466
108.0,0.3831
110.0,0.3395
112.0,0.3628
114.0,0.4056
116.0,0.3767
118.0,0.3594
120.0,0.3606
122.0,0.339
124.0,0.4029
126.0,0.3446
128.0,0.3278
130.0,0.3943
132.0,0.3437
134.0,0.4169
136.0,0.4345
138.0,0.3998
140.0,0.3526
142.0,0.3988
144.0,0.3937
146.0,0.3836
148.0,0.406
150.0,0.4031
152.0,0.3781
154.0,0.4097
156.0,0.4189
158.0,0.3442
160.0,0.3674
162.0,0.3672
164.0,0.3844
166.0,0.4975
168.0,0.3808
170.0,0.3648
172.0,0.3673
174.0,0.4745
176.0,0.3755
178.0,0.3626
180.0,0.3614
182.0,0.3499
184.0,0.444
186.0,0.3765
188.0,0.3421
190.0,0.3283
192.0,0.334
194.0,0.4111
196.0,0.4638
198.0,0.3291
200.0,0.3583
202.0,0.3899
204.0,0.3661
206.0,0.4854
208.0,0.3678
210.0,0.3441
212.0,0.3535
214.0,0.4157
216.0,0.3682
218.0,0.3253
220.0,0.3536
222.0,0.3309
224.0,0.3875
226.0,0.4419
228.0,0.3784
230.0,0.3427
232.0,0.335
234.0,0.4382
236.0,0.3574
238.0,0.3321
240.0,0.3214
242.0,0.3402
244.0,0.4393
246.0,0.3624
248.0,0.4119
250.0,0.3304
252.0,0.3338
254.0,0.3763
256.0,0.4337
258.0,0.388
260.0,0.328
262.0,0.361
264.0,0.3826
266.0,0.3977
268.0,0.3813
270.0,0.3231
272.0,0.3498
274.0,0.4021
276.0,0.4128
278.0,0.3311
280.0,0.3496
282.0,0.3534
284.0,0.3588
286.0,0.4709
288.0,0.3363
290.0,0.3458
292.0,0.3394
294.0,0.4464
296.0,0.371
298.0,0.3923
300.0,0.362
302.0,0.3542
