time_upper,rate
2.0,0.1294
4.0,0.1301
6.0,0.0966
8.0,0.1038
10.0,0.1065
12.0,0.1375
14.0,0.1324
16.0,0.1362
18.0,0.151
20.0,0.1766
22.0,0.1509
24.0,0.1497
26.0,0.1576
28.0,0.139
30.0,0.1421
32.0,0.1528
34.0,0.137
36.0,0.121
38.0,0.111
40.0,0.1087
42.0,0.1463
44.0,0.1151
46.0,0.1167
48.0,0.1214
50.0,0.1297
52.0,0.1441
54.0,0.1388
56.0,0.1182
58.0,0.117
60.0,0.1227
62.0,0.1284
64.0,0.1274
66.0,0.1165
68.0,0.1143
70.0,0.1151
72.0,0.1172
74.0,0.1118
76.0,0.114
78.0,0.1313
80.0,0.1217
82.0,0.1328
84.0,0.1145
86.0,0.1318
88.0,0.1184
90.0,0.1172
92.0,0.1292
94.0,0.1211
96.0,0.1619
98.0,0.118
100.0,0.1132
102.0,0.1123
104.0,0.1076
106.0,0.1199
108.0,0.1336
110.0,0.1242
112.0,0.1171
114.0,0.1219
116.0,0.1113
118.0,0.1131
120.0,0.1141
122.0,0.1204
124.0,0.1328
126.0,0.1311
128.0,0.1082
130.0,0.1161
132.0,0.1135
134.0,0.114
136.0,0.1174
138.0,0.1302
140.0,0.1279
142.0,0.1303
144.0,0.1477
146.0,0.1173
148.0,0.1142
150.0,0.1283
152.0,0.1856
154.0,0.1547
156.0,0.1643
158.0,0.1247
160.0,0.1448
162.0,0.122
164.0,0.1198
166.0,0.1529
168.0,0.1869
170.0,0.1989
172.0,0.1623
174.0,0.1199
176.0,0.1082
178.0,0.1422
180.0,0.1217
182.0,0.1238
184.0,0.1229
186.0,0.1018
188.0,0.1335
190.0,0.1048
192.0,0.1128
194.0,0.1915
196.0,0.1874
198.0,0.176
200.0,0.1543
202.0,0.1671
204.0,0.1421
206.0,0.1169
208.0,0.1297
210.0,0.1081
212.0,0.1665
214.0,0.1337
216.0,0.1275
218.0,0.1503
220.0,0.1102
222.0,0.1181
224.0,0.1074
226.0,0.1126
228.0,0.1292
230.0,0.1243
232.0,0.1392
234.0,0.1376
236.0,0.1177
238.0,0.1122
240.0,0.1147
242.0,0.1281
244.0,0.1263
246.0,0.0855
248.0,0.1104
250.0,0.1032
252.0,0.1092
254.0,0.1107
256.0,0.1145
258.0,0.1235
260.0,0.1258
262.0,0.1088
264.0,0.1057
266.0,0.1061
268.0,0.1056
270.0,0.1093
272.0,0.1186
274.0,0.12
276.0,0.1214
278.0,0.1048
280.0,0.1027
282.0,0.1096
284.0,0.1092
286.0,0.1206
288.0,0.1287
290.0,0.1282
292.0,0.118
294.0,0.111
296.0,0.1117
298.0,0.1164
300.0,0.1123
302.0,0.1345
304.0,0.1368
306.0,0.0988
308.0,0.1392
310.0,0.1528
312.0,0.2106
314.0,0.2716
316.0,0.2
318.0,0.1684
320.0,0.1827
322.0,0.2185
324.0,0.2236
326.0,0.2293
328.0,0.2164
330.0,0.262
332.0,0.2435
334.0,0.2194
336.0,0.1924
338.0,0.1948
340.0,0.2497
342.0,0.2234
344.0,0.2073
346.0,0.1488
348.0,0.1527
350.0,0.1631
352.0,0.1379
354.0,0.1384
356.0,0.1416
358.0,0.1179
360.0,0.1245
362.0,0.1307
364.0,0.1896
366.0,0.2235
368.0,0.1624
370.0,0.1368
372.0,0.1361
374.0,0.1774
376.0,0.1769
378.0,0.223
380.0,0.2125
382.0,0.1919
384.0,0.1792
386.0,0.1148
388.0,0.158
390.0,0.1289
392.0,0.1517
394.0,0.1563
396.0,0.1287
398.0,0.1131
400.0,0.1144
402.0,0.1427
404.0,0.1246
406.0,0.1768
408.0,0.1936
410.0,0.203
412.0,0.201
414.0,0.1787
416.0,0.1385
418.0,0.1473
420.0,0.1352
422.0,0.1363
424.0,0.1677
426.0,0.1809
428.0,0.1871
430.0,0.1847
432.0,0.1862
434.0,0.166
436.0,0.2448
438.0,0.2718
440.0,0.2404
442.0,0.202
444.0,0.1797
446.0,0.1534
448.0,0.2087
450.0,0.1537
452.0,0.1618
454.0,0.1302
456.0,0.1347
458.0,0.1312
460.0,0.1308
462.0,0.1346
464.0,0.198
466.0,0.1723
468.0,0.167
470.0,0.1706
472.0,0.1669
474.0,0.1592
476.0,0.1402
478.0,0.1938
480.0,0.2138
482.0,0.2517
484.0,0.2677
486.0,0.2333
488.0,0.2441
490.0,0.2169
492.0,0.2386
494.0,0.2478
496.0,0.2464
498.0,0.2028
500.0,0.2531
502.0,0.3482
504.0,0.236
506.0,0.2586
508.0,0.2427
510.0,0.2462
512.0,0.226
514.0,0.2372
516.0,0.2401
518.0,0.2221
520.0,0.2316
522.0,0.2277
524.0,0.2238
526.0,0.2263
528.0,0.2589
530.0,0.2506
532.0,0.2714
534.0,0.2484
536.0,0.2415
538.0,0.2247
540.0,0.2262
542.0,0.2182
544.0,0.2349
546.0,0.2367
548.0,0.2696
550.0,0.2294
552.0,0.2231
554.0,0.2749
556.0,0.2199
558.0,0.2346
560.0,0.2935
562.0,0.3172
564.0,0.2502
566.0,0.2753
568.0,0.3196
570.0,0.2715
572.0,0.2442
574.0,0.2133
576.0,0.1606
578.0,0.1354
580.0,0.1308
582.0,0.233
584.0,0.2484
586.0,0.216
588.0,0.1805
590.0,0.1621
592.0,0.1613
594.0,0.1448
596.0,0.1242
598.0,0.127
600.0,0.1291
602.0,0.1421
604.0,0.1542
606.0,0.1437
608.0,0.166
610.0,0.1618
612.0,0.1397
614.0,0.1474
616.0,0.1566
618.0,0.1605
620.0,0.17
622.0,0.176
624.0,0.1616
626.0,0.1459
628.0,0.1739
630.0,0.1652
632.0,0.1976
634.0,0.1935
636.0,0.1859
638.0,0.1649
640.0,0.1722
642.0,0.1961
644.0,0.1912
646.0,0.1785
648.0,0.167
