time_upper,rate
10.0,0.7297
20.0,0.7409
30.0,0.716
40.0,0.7467
50.0,0.753
60.0,0.7019
70.0,0.7385
80.0,0.7289
90.0,0.7553
100.0,0.7452
110.0,0.7597
120.0,0.7423
130.0,0.8093
140.0,0.8572
150.0,0.8602
160.0,0.9122
170.0,0.8524
180.0,0.7878
190.0,0.9045
200.0,0.8208
210.0,0.8156
220.0,0.8367
230.0,0.8342
240.0,0.8042
250.0,0.8576
260.0,0.975
270.0,0.9148
280.0,0.952
290.0,0.9154
300.0,0.8327
310.0,0.8906
320.0,0.8338
330.0,0.7956
340.0,0.8515
350.0,0.8445
360.0,0.8405
370.0,0.8981
380.0,0.8409
390.0,0.8485
400.0,0.849
410.0,0.858
420.0,0.834
430.0,0.8617
440.0,0.8585
450.0,0.7684
460.0,0.7163
470.0,0.711
480.0,0.763
490.0,0.7474
500.0,0.7746
510.0,0.696
520.0,0.7928
530.0,0.7843
540.0,0.809
550.0,0.8473
560.0,0.837
570.0,0.8104
580.0,0.8084
590.0,0.8333
600.0,0.8142
610.0,0.8248
620.0,0.8351
630.0,0.8745
640.0,0.8445
650.0,0.8786
660.0,0.866
670.0,0.8735
680.0,0.8622
690.0,0.858
700.0,0.8588
710.0,0.8709
720.0,0.8579
730.0,0.8814
740.0,0.8792
750.0,0.8721
760.0,0.8882
770.0,0.9195
780.0,0.9229
790.0,0.9161
800.0,0.9354
810.0,0.9618
820.0,0.9527
830.0,0.9394
840.0,0.8768
850.0,0.9636
860.0,0.9593
870.0,1.0
880.0,0.9256
890.0,0.917
900.0,0.8401
910.0,0.8497
920.0,0.8604
930.0,0.863
940.0,0.8674
950.0,0.8543
960.0,0.8725
970.0,0.8064
980.0,0.8692
990.0,0.8516
1000.0,0.8714
1010.0,0.9
1020.0,0.8777
1030.0,0.8271
1040.0,0.8569
1050.0,0.8332
1060.0,0.8247
1070.0,0.9126
1080.0,0.9034
1090.0,0.8612
1100.0,0.8083
1110.0,0.8377
1120.0,0.8051
1130.0,0.8118
1140.0,0.8056
1150.0,0.8034
1160.0,0.808
1170.0,0.848
1180.0,0.8947
1190.0,0.8374
1200.0,0.8437
1210.0,0.8213
1220.0,0.8531
1230.0,0.8472
1240.0,0.8548
1250.0,0.8622
1260.0,0.8516
1270.0,0.8607
1280.0,0.8683
1290.0,0.831
1300.0,0.8368
1310.0,0.8443
1320.0,0.8143
1330.0,0.8586
1340.0,0.8223
1350.0,0.8229
1360.0,0.7964
1370.0,0.8338
1380.0,0.8143
1390.0,0.7627
1400.0,0.8292
1410.0,0.8121
1420.0,0.7885
1430.0,0.7748
1440.0,0.7952
