time_upper,rate
10.0,0.4008
20.0,0.3298
30.0,0.2067
40.0,0.2722
50.0,0.2097
60.0,0.249
70.0,0.2547
80.0,0.2158
90.0,0.2077
100.0,0.2457
110.0,0.3707
120.0,0.3777
130.0,0.3472
140.0,0.4146
150.0,0.4098
160.0,0.3741
170.0,0.3482
180.0,0.3837
190.0,0.3998
200.0,0.388
210.0,0.3286
220.0,0.3374
230.0,0.3082
240.0,0.2732
250.0,0.3143
260.0,0.305
270.0,0.2884
280.0,0.3097
290.0,0.311
300.0,0.2984
310.0,0.2952
320.0,0.2653
330.0,0.2797
340.0,0.3085
350.0,0.2889
360.0,0.3322
370.0,0.3443
380.0,0.2893
390.0,0.273
400.0,0.2985
410.0,0.2905
420.0,0.3036
430.0,0.3239
440.0,0.3562
450.0,0.3325
460.0,0.2886
470.0,0.3236
480.0,0.3584
490.0,0.3483
500.0,0.3229
510.0,0.3225
520.0,0.3651
530.0,0.3607
540.0,0.2849
550.0,0.3724
560.0,0.3648
570.0,0.3701
580.0,0.395
590.0,0.4016
600.0,0.3681
610.0,0.4953
620.0,0.4018
630.0,0.4647
640.0,0.4498
650.0,0.4813
660.0,0.4546
670.0,0.4679
680.0,0.6687
690.0,1.0
700.0,0.5686
710.0,0.5531
720.0,0.5595
730.0,0.6267
740.0,0.5626
750.0,0.5583
760.0,0.5179
770.0,0.4752
780.0,0.576
790.0,0.5776
800.0,0.5694
810.0,0.518
820.0,0.7916
830.0,0.5396
840.0,0.5004
850.0,0.5548
860.0,0.5345
870.0,0.5994
880.0,0.5776
890.0,0.5071
900.0,0.519
910.0,0.4967
920.0,0.6425
930.0,0.5104
940.0,0.5363
950.0,0.541
960.0,0.4994
970.0,0.4647
980.0,0.4569
990.0,0.4541
1000.0,0.4405
1010.0,0.4649
1020.0,0.4467
1030.0,0.4666
1040.0,0.4467
1050.0,0.4645
1060.0,0.4521
1070.0,0.4533
1080.0,0.4609
1090.0,0.4744
1100.0,0.4453
1110.0,0.4571
1120.0,0.4577
1130.0,0.4483
1140.0,0.4214
1150.0,0.4012
1160.0,0.4044
1170.0,0.4149
1180.0,0.4258
1190.0,0.4131
1200.0,0.4012
1210.0,0.4142
1220.0,0.3961
1230.0,0.4028
1240.0,0.4042
1250.0,0.4119
1260.0,0.4299
1270.0,0.4091
1280.0,0.4221
1290.0,0.4052
1300.0,0.3971
1310.0,0.3989
1320.0,0.3763
1330.0,0.3724
1340.0,0.3636
1350.0,0.368
1360.0,0.3811
1370.0,0.345
1380.0,0.3584
1390.0,0.355
1400.0,0.3825
1410.0,0.4196
1420.0,0.3497
1430.0,0.3417
1440.0,0.3345
