time_upper,rate
10.0,0.5223
20.0,0.5042
30.0,0.5091
40.0,0.5323
50.0,0.5308
60.0,0.5222
70.0,0.4863
80.0,0.5121
90.0,0.5172
100.0,0.5637
110.0,0.5678
120.0,0.5555
130.0,0.5666
140.0,0.5676
150.0,0.5731
160.0,0.5673
170.0,0.5706
180.0,0.5404
190.0,0.5867
200.0,0.5377
210.0,0.5565
220.0,0.5397
230.0,0.5397
240.0,0.5585
250.0,0.5929
260.0,0.6075
270.0,0.582
280.0,0.612
290.0,0.8298
300.0,0.5673
310.0,0.6025
320.0,0.5861
330.0,0.5719
340.0,0.542
350.0,0.5551
360.0,0.5471
370.0,0.5983
380.0,0.6949
390.0,0.7066
400.0,0.7197
410.0,0.7621
420.0,0.7179
430.0,0.7905
440.0,0.7072
450.0,0.7496
460.0,0.7367
470.0,0.8904
480.0,0.7481
490.0,1.0
500.0,0.8017
510.0,0.8254
520.0,0.8228
530.0,0.8591
540.0,0.733
550.0,0.7398
560.0,0.7705
570.0,0.6844
580.0,0.7077
590.0,0.7121
600.0,0.737
610.0,0.7121
620.0,0.7789
630.0,0.732
640.0,0.6941
650.0,0.6806
660.0,0.6607
670.0,0.6717
680.0,0.6902
690.0,0.6922
700.0,0.6561
710.0,0.6947
720.0,0.6608
730.0,0.7095
740.0,0.7024
750.0,0.7205
760.0,0.7115
770.0,0.7324
780.0,0.6994
790.0,0.7656
800.0,0.8933
810.0,0.8756
820.0,0.8407
830.0,0.821
840.0,0.7089
850.0,0.684
860.0,0.6866
870.0,0.6933
880.0,0.7063
890.0,0.6827
900.0,0.6197
910.0,0.6574
920.0,0.6729
930.0,0.6765
940.0,0.6897
950.0,0.7099
960.0,0.6933
970.0,0.7192
980.0,0.7157
990.0,0.7149
1000.0,0.7346
1010.0,0.6921
1020.0,0.6824
1030.0,0.6792
1040.0,0.6897
1050.0,0.6711
1060.0,0.6756
1070.0,0.6511
1080.0,0.6665
1090.0,0.7242
1100.0,0.7184
1110.0,0.6908
1120.0,0.6978
1130.0,0.689
1140.0,0.6961
1150.0,0.6852
1160.0,0.6609
1170.0,0.6865
1180.0,0.7091
1190.0,0.6405
1200.0,0.6227
1210.0,0.6507
1220.0,0.6371
1230.0,0.6331
1240.0,0.6466
1250.0,0.643
1260.0,0.677
1270.0,0.598
1280.0,0.5754
1290.0,0.5866
1300.0,0.5951
1310.0,0.5713
1320.0,0.5602
1330.0,0.5708
1340.0,0.5774
1350.0,0.5858
1360.0,0.6023
1370.0,0.5802
1380.0,0.5503
1390.0,0.5858
1400.0,0.568
1410.0,0.5623
1420.0,0.6043
1430.0,0.5815
1440.0,0.5549
